file,orig_bytes,w,h,mode_in,converted_mode,alpha_opaque,out_png_bytes
pinpon.tif,3866400,1388,691,RGBA,RGBA,False,866873
pinza.tif,1068596,316,826,RGBA,RGBA,False,305697
pistola.tif,2396432,831,713,RGBA,RGBA,False,413960
planta.tif,585672,436,320,RGBA,RGBA,False,113919
poggio.tif,832720,384,524,RGBA,RGBA,False,246268
pomogastado.tif,320616,224,329,RGBA,RGBA,False,118419
pucho.tif,7076688,1132,1558,RGBA,RGBA,False,373957
puchos.tif,4149860,1000,1031,RGBA,RGBA,False,659890
puchos1.tif,2018108,768,648,RGBA,RGBA,False,612229
rata.tif,4974664,1235,1001,RGBA,RGBA,False,1081508
reloj.tif,656108,362,434,RGBA,RGBA,False,253376
retorica.tif,663476,280,571,RGBA,RGBA,False,165705
rollo.tif,1035280,714,354,RGBA,RGBA,False,246794
rollohilo.tif,111300,128,168,RGBA,RGBA,False,42861
rosa.tif,949264,576,400,RGBA,RGBA,False,218365
rueda.tif,708196,402,425,RGBA,RGBA,False,159531
sabotage.tif,598932,370,386,RGBA,RGBA,False,173459
secadordepelo.tif,2503440,592,1047,RGBA,RGBA,False,464871
servilletas.tif,757524,416,440,RGBA,RGBA,False,193404
sg1.tif,15374000,1667,2301,RGBA,RGBA,False,1853166
silla compu.tif,346944,344,234,RGBA,RGBA,False,93700
silla.tif,773500,326,574,RGBA,RGBA,False,166023
tabla.tif,732620,384,459,RGBA,RGBA,False,169848
tarugo.tif,346592,354,228,RGBA,RGBA,False,66731
taza senda.tif,615092,348,422,RGBA,RGBA,False,222770
telefono.tif,755372,431,422,RGBA,RGBA,False,241724
termo.tif,733256,568,312,RGBA,RGBA,False,221237
thiner.tif,1130172,654,422,RGBA,RGBA,False,437913
tigre.tif,2158480,986,540,RGBA,RGBA,False,402410
tijera.tif,1032428,416,606,RGBA,RGBA,False,124607
tomoichi.tif,1656024,606,672,RGBA,RGBA,False,592041
tronco.tif,1527148,616,609,RGBA,RGBA,False,302814
trooper.tif,594232,372,380,RGBA,RGBA,False,224834
tuca.tif,393756,260,356,RGBA,RGBA,False,64988
turbo.tif,1092944,484,550,RGBA,RGBA,False,322176
valija.tif,2628320,986,660,RGBA,RGBA,False,890813
ventana.tif,1789136,710,620,RGBA,RGBA,False,631047
victor.tif,1617616,895,444,RGBA,RGBA,False,310461
vijero.tif,641832,402,382,RGBA,RGBA,False,202796
wittgestein.tif,898964,348,628,RGBA,RGBA,False,246072
yerba amanda.tif,1470896,470,768,RGBA,RGBA,False,563852
yoni.tif,7432560,1088,1702,RGBA,RGBA,False,1050865
zapa.tif,4417864,1162,944,RGBA,RGBA,False,1109481
zapallo.tif,377256,389,226,RGBA,RGBA,False,137230
zombi.tif,1131504,372,744,RGBA,RGBA,False,212406
zorro.tif,2124340,616,852,RGBA,RGBA,False,179422
